Send,SORT,Sender,Recipient,time,SenderLocation,LATITUDE,LONGITUDE,RecLocation,RecLat,RecLong,URL,
Not,630,Binckley; John M.,Whitman; Walt,1868-03-24,"Washington, DC",38.907192,-77.036871,"Washington, DC",38.907192,-77.036871,,
Not,631,Whitman; Louisa Van Velsor,Whitman; Walt,1868-03-24,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00541.html,
Whitman,632,Whitman; Walt,Binckley; John M.,1868-03-24,"Washington, DC",38.907192,-77.036871,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01577.html,
Not,633,Church; William C.,Whitman; Walt,1868-03-25,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,,
Not,634,Wilson; Henry (father of soldier),Whitman; Walt,1868-03-30,,,,"Washington, DC",38.907192,-77.036871,,
Not,635,Burroughs; John,Whitman; Walt,1868-03-31,,,,"Washington, DC",38.907192,-77.036871,,
Not,636,Whitman; Louisa Van Velsor,Whitman; Walt,1868-04-07,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00542.html,
Whitman,637,Whitman; Walt,Browning; Orville Hickman,1868-04-07,"Washington, DC",38.907192,-77.036871,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/ucl.00002.html,
Not,638,Hotten; John Camden,Whitman; Walt,1868-04-08,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/yal.00294.html,
Whitman,639,Whitman; Walt,Price; Abby H.,1868-04-10,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/pml.00024.html,
Not,640,Rossetti; William Michael,Whitman; Walt,1868-04-12,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,,
Whitman,641,Whitman; Walt,Whitman; Louisa Van Velsor,1868-04-16,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/nyp.00280.html,
Whitman,642,Whitman; Walt,Wise; Alfred,1868-04-21,"Washington, DC",38.907192,-77.036871,,,,,
Whitman,643,Whitman; Walt,Hotten; John Camden,1868-04-24,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/loc.01575.html,
